Family,Train Count,Test Count,Train Percentage,Test Percentage
MRC,1,1,50.00%,50.00%
NN,1,0,100.00%,0.00%
PT,1,0,100.00%,0.00%
PMC,1,0,100.00%,0.00%
TRAINER,1,0,100.00%,0.00%
DRGNFLY,0,1,0.00%,100.00%
DORMOY,0,1,0.00%,100.00%
CH,0,1,0.00%,100.00%
CHEN,0,1,0.00%,100.00%
BACNLF,0,1,0.00%,100.00%
APEX,0,1,0.00%,100.00%
FXLV,0,1,0.00%,100.00%
LNV,0,1,0.00%,100.00%
LG,0,1,0.00%,100.00%
J,0,1,0.00%,100.00%
JN,0,1,0.00%,100.00%
GU,0,1,0.00%,100.00%
HSNLF,0,1,0.00%,100.00%
EBAMBINO,0,1,0.00%,100.00%
GIIIH,0,1,0.00%,100.00%
FXM,0,1,0.00%,100.00%
MS,0,2,0.00%,100.00%
NCAMBRE,0,1,0.00%,100.00%
NASASC,0,1,0.00%,100.00%
NPLX,0,1,0.00%,100.00%
STRAND,0,1,0.00%,100.00%
US,0,1,0.00%,100.00%
WASPSM,0,1,0.00%,100.00%
